,Year,Status,Value
0,2009,START,0
1,2010,TANG,54.66623979510163
2,2011,GIAM,-37.70440902504658
3,2012,GIAM,-41.56836683834524
4,2013,TANG,12.482229172590298
5,2014,TANG,7.912032355915066
6,2015,TANG,28.179901616303592
7,2016,GIAM,-15.917397660818722
8,2017,GIAM,-21.53879591393175
9,2018,TANG,108.47645429362882
10,2019,GIAM,-21.286207812915237
11,2020,GIAM,-6.937879810938552
