,Year,Status,Value
0,2007,START,0
1,2008,TANG,23.45975783475783
2,2009,GIAM,-54.10146390711762
3,2010,TANG,48.27762284457363
4,2011,GIAM,-18.919205298013246
5,2012,GIAM,-67.58690538421328
6,2013,GIAM,-42.44531801229714
7,2014,TANG,60.64798598949213
8,2015,TANG,59.18456339256514
9,2016,GIAM,-17.94959594576086
10,2017,TANG,8.989232952174275
11,2018,GIAM,-2.1595956501761373
12,2019,GIAM,-4.758922980588608
13,2020,TANG,24.917817225509534
