,Year,Status,Value
0,2006,START,0
1,2007,TANG,0.5999710857307994
2,2008,TANG,36.92606165121792
3,2009,GIAM,-56.48089840470193
4,2010,TANG,127.85481731580855
5,2011,GIAM,-16.601397121083828
6,2012,GIAM,-38.689003109334344
7,2013,TANG,82.50879735044504
8,2014,GIAM,-15.197913122377226
9,2015,TANG,10.324996656413
10,2016,TANG,29.712692447569378
11,2017,TANG,37.53738317757011
12,2018,TANG,25.029728535996988
13,2019,GIAM,-29.34782608695652
14,2020,GIAM,-13.076923076923075
