,Year,Status,Value
0,2015,START,0
1,2016,TANG,3.2218418049337276
2,2017,TANG,3.095764585813921
3,2018,TANG,50.30523016003959
4,2019,TANG,4.281009879253574
5,2020,TANG,1.5789473684210564
