,Year,Status,Value
0,2002,START,0
1,2003,GIAM,-5.856486108335002
2,2004,GIAM,-2.6751592356688003
3,2005,TANG,26.537958115183248
4,2006,TANG,25.359882768726827
5,2007,TANG,177.86563982672075
6,2008,GIAM,-2.9398663697104532
7,2009,GIAM,-76.5106317882821
8,2010,TANG,162.83512428090745
9,2011,GIAM,-45.87652281643609
10,2012,GIAM,-46.970853044407136
11,2013,TANG,10.661870503597125
12,2014,TANG,80.45767780522691
13,2015,GIAM,-9.9142589523741
14,2016,TANG,58.25801807566182
15,2017,GIAM,-1.7587304796078174
16,2018,TANG,53.81964092803126
17,2019,GIAM,-16.6315507842547
18,2020,GIAM,-6.931964056482675
