,Year,Status,Value
0,2006,START,0
1,2007,TANG,10.000781311039919
2,2008,GIAM,-25.26812983876695
3,2009,GIAM,-65.38041153827876
4,2010,TANG,65.02402196293755
5,2011,TANG,1.4140741973049487
6,2012,GIAM,-20.20177165354331
7,2013,GIAM,-0.7400555041628065
8,2014,TANG,34.6380863622243
9,2015,TANG,31.510536840486083
10,2016,TANG,19.790631031054453
11,2017,TANG,12.89361909876483
12,2018,TANG,59.807991696938224
13,2019,GIAM,-16.820912485793137
14,2020,TANG,62.730171123690546
