,Year,Status,Value
0,2011,START,0
1,2012,TANG,32.08236466290269
2,2013,GIAM,-64.89816444556197
3,2014,TANG,40.30563514804204
4,2015,TANG,34.087814840027214
5,2016,GIAM,-13.821550958243426
6,2017,GIAM,-33.79970544918998
7,2018,TANG,32.502780867630705
8,2019,GIAM,-14.204163868368033
9,2020,GIAM,-7.632093933463807
