,Year,Status,Value
0,2006,START,0
1,2007,TANG,0.7003317360855243
2,2008,TANG,58.07467057101028
3,2009,GIAM,-67.38757930810911
4,2010,TANG,72.9196251065038
5,2011,GIAM,-24.57091237579042
6,2012,TANG,13.532934131736507
7,2013,TANG,29.670118910625256
8,2014,TANG,4.318887738500221
9,2015,TANG,2.3394300297745696
10,2016,GIAM,-12.718204488778062
11,2017,GIAM,-30.23809523809524
12,2018,TANG,52.445961319681466
13,2019,GIAM,-13.432835820895528
14,2020,GIAM,-12.06896551724138
