,transDate,close,high,low,open,volume,event
0,06-11-2017,32.152,32.152,32.152,32.152,800.0,
1,07-11-2017,32.152,32.152,32.152,32.152,0.0,
2,08-11-2017,32.152,32.152,32.152,32.152,0.0,
3,09-11-2017,32.152,32.152,32.152,32.152,0.0,
4,10-11-2017,34.372,34.372,34.372,34.372,31030.0,
5,13-11-2017,36.751,36.751,36.751,36.751,132380.0,
6,14-11-2017,37.266,39.289,36.751,39.289,15464870.0,
7,15-11-2017,35.284,37.266,34.729,36.751,6550260.0,
8,16-11-2017,34.888,35.284,33.897,35.284,5521990.0,
9,17-11-2017,35.363,36.077,34.333,34.888,10742380.0,
10,20-11-2017,37.821,37.821,35.68,36.156,3176670.0,
11,21-11-2017,40.438,40.438,38.852,39.565,8062730.0,
12,22-11-2017,40.914,42.816,39.962,40.834,7455670.0,
13,23-11-2017,41.231,41.865,40.041,40.914,2316540.0,
14,24-11-2017,40.121,41.31,40.041,40.834,2384820.0,
15,27-11-2017,40.517,41.231,38.852,40.121,3451040.0,
16,28-11-2017,39.487,41.152,39.249,41.152,2811900.0,
17,29-11-2017,39.169,39.803,38.733,39.249,1595900.0,
18,30-11-2017,38.852,38.852,37.94,38.852,3235960.0,
19,01-12-2017,39.249,39.565,38.455,39.011,1312140.0,
20,04-12-2017,39.249,39.645,38.733,39.565,1584010.0,
21,05-12-2017,38.059,39.645,37.98,39.645,1980030.0,
22,06-12-2017,37.346,38.455,37.028,38.059,1834150.0,
23,07-12-2017,36.474,37.98,36.474,37.821,1067350.0,
24,08-12-2017,37.266,37.782,35.205,36.474,1558790.0,
25,11-12-2017,35.68,36.87,35.68,35.68,943290.0,
26,12-12-2017,36.474,36.552,34.174,35.839,1598220.0,
27,13-12-2017,36.354,36.552,35.998,36.474,883220.0,
28,14-12-2017,35.839,36.314,35.601,36.236,1424710.0,
29,15-12-2017,36.394,36.79,35.76,35.76,1761240.0,
30,18-12-2017,36.712,37.187,36.394,36.949,2414320.0,
31,19-12-2017,36.712,37.226,35.998,36.988,1297970.0,
32,20-12-2017,36.314,36.632,36.156,36.236,1430200.0,
33,21-12-2017,38.218,38.297,36.314,36.474,2896650.0,
34,22-12-2017,37.901,38.733,37.901,38.218,962890.0,
35,25-12-2017,37.266,38.059,37.266,37.901,881540.0,
36,26-12-2017,38.059,38.416,37.108,37.425,1555640.0,
37,27-12-2017,37.623,38.218,37.544,37.901,1103520.0,
38,28-12-2017,37.187,37.821,37.187,37.821,940350.0,
39,29-12-2017,37.385,37.861,36.632,37.108,2825760.0,
40,02-01-2018,37.544,37.821,37.346,37.346,596280.0,
41,03-01-2018,37.584,38.416,37.584,37.663,1663590.0,
42,04-01-2018,37.425,38.059,37.187,37.94,935370.0,
43,05-01-2018,37.266,37.663,37.226,37.425,1664520.0,
44,08-01-2018,36.79,37.385,36.632,37.266,1708070.0,
45,09-01-2018,37.266,37.504,36.79,36.87,1945080.0,
46,10-01-2018,39.487,39.803,37.266,37.266,3018830.0,
47,11-01-2018,41.152,41.39,38.852,39.407,2676140.0,
48,12-01-2018,43.61,44.006,41.31,41.39,4587910.0,
49,15-01-2018,43.292,44.085,42.578,43.61,2874160.0,
50,16-01-2018,42.738,43.53,42.658,43.53,2440360.0,
51,17-01-2018,43.61,45.433,42.816,43.054,3459330.0,
52,18-01-2018,45.591,46.623,43.213,43.292,2999350.0,
53,19-01-2018,48.366,48.764,46.385,46.543,3426360.0,
54,22-01-2018,47.178,48.366,46.385,47.653,3749050.0,
55,25-01-2018,44.403,48.684,44.403,46.781,7105690.0,
56,26-01-2018,43.61,46.385,43.61,45.195,4619400.0,
57,29-01-2018,43.61,45.909,43.53,45.116,4390910.0,
58,30-01-2018,43.768,44.64,43.213,43.61,2951010.0,
59,31-01-2018,43.927,46.543,43.927,44.323,6251570.0,
60,01-02-2018,43.61,44.006,42.024,44.006,3912850.0,
61,02-02-2018,43.689,43.689,43.134,43.53,1375890.0,
62,05-02-2018,40.676,43.213,40.676,42.816,3142830.0,
63,06-02-2018,37.861,40.438,37.861,37.861,9071240.0,
64,07-02-2018,40.438,40.438,38.931,39.962,3212830.0,
65,08-02-2018,38.852,40.834,38.852,39.645,1062120.0,
66,09-02-2018,37.861,37.861,36.156,36.314,3215790.0,
67,12-02-2018,37.861,38.416,36.077,37.98,3845820.0,
68,13-02-2018,38.099,38.218,37.821,37.98,3305870.0,
69,21-02-2018,39.249,39.645,38.614,39.645,2928020.0,
70,22-02-2018,39.565,39.565,38.852,38.852,3575630.0,
71,23-02-2018,40.914,40.914,39.487,39.645,3430070.0,
72,26-02-2018,43.61,43.768,41.786,42.816,5377610.0,
