,transDate,close,high,low,open,volume,event,date
0,1242752400000,3.975,3.975,3.975,3.975,40,,2009-05-19 17:00:00
1,1242838800000,4.171,4.171,4.171,4.171,20,,2009-05-20 17:00:00
2,1242925200000,4.381,4.381,4.381,4.381,10,,2009-05-21 17:00:00
3,1243011600000,4.588,4.588,4.588,4.588,500,,2009-05-22 17:00:00
4,1243270800000,4.81,4.81,4.81,4.81,10,,2009-05-25 17:00:00
5,1243357200000,5.043,5.043,5.043,5.043,10,,2009-05-26 17:00:00
6,1243443600000,5.29,5.29,5.29,5.29,16040,,2009-05-27 17:00:00
7,1243530000000,5.546,5.546,5.546,5.546,21900,,2009-05-28 17:00:00
8,1243616400000,5.817,5.817,5.817,5.817,25850,,2009-05-29 17:00:00
9,1243875600000,6.098,6.098,6.098,6.098,61090,,2009-06-01 17:00:00
10,1243962000000,6.381,6.381,6.381,6.381,16350,,2009-06-02 17:00:00
11,1244048400000,6.688,6.688,6.688,6.688,41500,,2009-06-03 17:00:00
12,1244134800000,6.993,6.993,6.993,6.993,161220,,2009-06-04 17:00:00
13,1244221200000,7.301,7.301,7.301,7.301,500,,2009-06-05 17:00:00
14,1244480400000,7.61,7.61,7.61,7.61,55600,,2009-06-08 17:00:00
15,1244566800000,7.977,7.977,7.977,7.977,166030,,2009-06-09 17:00:00
16,1244653200000,8.346,8.346,8.346,8.346,333800,,2009-06-10 17:00:00
17,1244739600000,8.715,8.715,8.589,8.715,909580,,2009-06-11 17:00:00
18,1244826000000,9.142,9.142,9.142,9.142,15670,,2009-06-12 17:00:00
19,1245085200000,9.57,9.57,9.45,9.57,858330,,2009-06-15 17:00:00
20,1245171600000,9.142,9.57,9.142,9.327,192300,,2009-06-16 17:00:00
21,1245258000000,8.715,8.715,8.715,8.715,87640,,2009-06-17 17:00:00
22,1245344400000,8.346,9.083,8.282,9.083,870410,,2009-06-18 17:00:00
23,1245430800000,8.162,8.467,7.977,8.467,387420,,2009-06-19 17:00:00
24,1245690000000,7.793,7.854,7.793,7.793,331730,,2009-06-22 17:00:00
25,1245776400000,7.425,7.425,7.425,7.425,193580,,2009-06-23 17:00:00
26,1245862800000,7.793,7.793,7.729,7.793,694930,,2009-06-24 17:00:00
27,1245949200000,7.425,8.038,7.425,8.038,337330,,2009-06-25 17:00:00
28,1246035600000,7.361,7.61,7.117,7.117,330390,,2009-06-26 17:00:00
29,1246294800000,7.729,7.729,7.425,7.486,297910,,2009-06-29 17:00:00
30,1246381200000,7.361,7.729,7.361,7.729,250170,,2009-06-30 17:00:00
31,1246467600000,6.993,6.993,6.993,6.993,261330,,2009-07-01 17:00:00
32,1246554000000,6.933,7.117,6.688,6.873,347590,,2009-07-02 17:00:00
33,1246640400000,6.749,6.873,6.625,6.688,329670,,2009-07-03 17:00:00
34,1246899600000,7.056,7.056,6.873,6.873,218360,,2009-07-06 17:00:00
35,1246986000000,7.056,7.177,6.873,6.993,153750,,2009-07-07 17:00:00
36,1247072400000,7.361,7.361,7.056,7.056,407630,,2009-07-08 17:00:00
37,1247158800000,7.729,7.729,7.486,7.61,399850,,2009-07-09 17:00:00
38,1247245200000,7.361,7.729,7.361,7.729,301710,,2009-07-10 17:00:00
39,1247504400000,6.993,7.361,6.993,7.361,166480,,2009-07-13 17:00:00
40,1247590800000,6.808,6.993,6.749,6.993,206630,,2009-07-14 17:00:00
41,1247677200000,7.117,7.117,6.808,6.873,155010,,2009-07-15 17:00:00
42,1247763600000,7.361,7.425,7.241,7.425,226180,,2009-07-16 17:00:00
43,1247850000000,7.056,7.301,7.056,7.177,109340,,2009-07-17 17:00:00
44,1248109200000,6.749,6.873,6.749,6.873,126180,,2009-07-20 17:00:00
