,Year,Status,Value,Close
0,2006,START,0,15.304
1,2007,TANG,26.411395713538944,19.346
2,2008,TANG,36.14700713325753,26.339000000000002
3,2009,GIAM,-68.96237518508676,8.175
4,2010,TANG,1.6880733944953898,8.312999999999999
5,2011,GIAM,-36.088054853843374,5.313
6,2012,GIAM,-41.878411443628835,3.088
7,2013,TANG,82.35103626943005,5.631
8,2014,TANG,112.53773752441838,11.968
9,2015,TANG,18.240307486631014,14.151
10,2016,GIAM,-28.718818458059502,10.087
11,2017,TANG,12.243481709130577,11.322000000000001
12,2018,TANG,56.5624447977389,17.726
13,2019,GIAM,-11.085411260295611,15.761
14,2020,TANG,63.4033373516909,25.754
