,Year,Status,Value,Close
0,2008,START,0,10.561
1,2009,GIAM,-55.79017138528549,4.669
2,2010,TANG,132.64082244591992,10.862
3,2011,GIAM,-28.944945682194806,7.718
4,2012,GIAM,-4.444156517232443,7.375
5,2013,TANG,41.844067796610155,10.460999999999999
6,2014,TANG,108.07762164229044,21.767
7,2015,TANG,14.301465521201816,24.88
8,2016,TANG,90.22508038585211,47.328
9,2017,GIAM,-17.133620689655174,39.219
10,2018,GIAM,-14.564369310793246,33.507
11,2019,TANG,3.34855403348554,34.629
12,2020,GIAM,-20.87556672153397,27.4
13,2021,status,7.609262606780898,close
