,Year,Status,Value,Close
0,2009,START,0,3.975
1,2010,TANG,177.8364779874214,11.044
2,2011,GIAM,-48.85910901847158,5.648
3,2012,GIAM,-39.465297450424934,3.4189999999999996
4,2013,TANG,64.05381690552795,5.609
5,2014,TANG,59.01230165804957,8.919
6,2015,TANG,31.303957842807467,11.710999999999999
7,2016,TANG,4.482964734010763,12.235999999999999
8,2017,GIAM,-0.825433148087603,12.135
9,2018,TANG,117.22290894107952,26.36
10,2019,GIAM,-18.645675265553866,21.445
11,2020,TANG,0.2564700396362775,21.5
