,Year,Status,Value,Close
0,2006,START,0,14.267000000000001
1,2007,GIAM,-20.817270624518123,11.297
2,2008,TANG,10.861290608126053,12.524000000000001
3,2009,GIAM,-67.79782816991376,4.033
4,2010,TANG,88.71807587403917,7.611000000000001
5,2011,TANG,11.102351859151213,8.456
6,2012,GIAM,-6.3386944181646125,7.92
7,2013,TANG,11.426767676767668,8.825
8,2014,GIAM,-3.84135977337109,8.486
9,2015,GIAM,-1.9208107471128948,8.323
10,2016,TANG,81.02847530938362,15.067
11,2017,GIAM,-29.003783102143753,10.697000000000001
12,2021,status,-2.3713139022280894,close
