,Year,Status,Value,Close
0,2006,START,0,13.834000000000001
1,2007,TANG,0.5999710857307966,13.917
2,2008,TANG,36.926061651217914,19.055999999999997
3,2009,GIAM,-56.48089840470193,8.293
4,2010,TANG,127.85481731580855,18.896
5,2011,GIAM,-16.60139712108383,15.759
6,2012,GIAM,-38.689003109334344,9.662
7,2013,TANG,82.50879735044504,17.634
8,2014,GIAM,-15.197913122377225,14.954
9,2015,TANG,10.324996656413003,16.498
10,2016,TANG,29.712692447569385,21.4
11,2017,TANG,37.53738317757011,29.433000000000003
12,2018,TANG,25.029728535996988,36.8
13,2019,GIAM,-29.34782608695652,26.0
14,2020,GIAM,-13.076923076923071,22.6
