,Year,Status,Value,Close
0,2006,START,0,56.295
1,2007,GIAM,-39.003463895550226,34.338
2,2008,GIAM,-2.108451278466995,33.614000000000004
3,2009,GIAM,-76.38483965014578,7.938
4,2010,TANG,248.9040060468632,27.695999999999998
5,2011,GIAM,-50.007221259387634,13.845999999999998
6,2012,GIAM,-64.97905532283691,4.849
7,2013,TANG,9.4864920602186,5.309
8,2014,TANG,7.854586551139571,5.726
9,2015,TANG,46.73419490045409,8.402000000000001
10,2016,GIAM,-22.7683884789336,6.489
11,2017,GIAM,-7.289258745569422,6.016
12,2018,TANG,85.4222074468085,11.155
13,2019,GIAM,-28.3370685791125,7.994
14,2020,TANG,26.344758568926697,10.1
15,2021,status,-10.822196747310908,close
