,Year,Status,Value,Close
0,2006,START,0,13.493
1,2007,GIAM,-2.6754613503298055,13.132
2,2008,TANG,16.364605543710013,15.280999999999999
3,2009,GIAM,-66.51397159871736,5.117
4,2010,TANG,218.89779167480938,16.317999999999998
5,2011,GIAM,-18.831964701556558,13.245
6,2012,GIAM,-29.01472253680633,9.402000000000001
7,2013,TANG,18.41097638800253,11.133
8,2014,TANG,87.75711847660112,20.903000000000002
9,2015,TANG,17.71516050327702,24.605999999999998
10,2016,TANG,28.944159960985143,31.728
11,2017,TANG,63.735501765002525,51.95
12,2018,TANG,8.444658325312787,56.336999999999996
13,2019,GIAM,-38.330049523403794,34.743
14,2020,GIAM,-10.773393201508224,31.0
15,2021,status,5.702082794731833,close
