,Year,Status,Value,Close
0,2007,START,0,44.928000000000004
1,2008,TANG,23.45975783475783,55.468
2,2009,GIAM,-54.10146390711762,25.459
3,2010,TANG,48.27762284457363,37.75
4,2011,GIAM,-18.919205298013246,30.608
5,2012,GIAM,-67.58690538421328,9.921
6,2013,GIAM,-42.44531801229714,5.71
7,2014,TANG,60.64798598949213,9.173
8,2015,TANG,59.18456339256514,14.602
9,2016,GIAM,-17.94959594576086,11.981
10,2017,TANG,8.989232952174275,13.058
11,2018,GIAM,-2.1595956501761373,12.776
12,2019,GIAM,-4.758922980588608,12.168
13,2020,TANG,24.917817225509534,15.2
