,Year,Status,Value,Close
0,2006,START,0,3.45
1,2007,TANG,138.55072463768116,8.23
2,2008,TANG,39.00364520048601,11.44
3,2009,GIAM,-47.0541958041958,6.057
4,2010,TANG,89.15304606240714,11.457
5,2011,TANG,17.351837304704542,13.445
6,2012,TANG,50.51692078839718,20.237000000000002
7,2013,TANG,60.69081385580864,32.519
8,2014,TANG,60.26015560134077,52.115
9,2015,GIAM,-11.981195433176628,45.871
10,2016,TANG,66.15508709206252,76.217
11,2017,TANG,25.283073330096972,95.48700000000001
12,2018,TANG,72.73765015132949,164.942
13,2019,GIAM,-27.535133562100615,119.525
14,2020,GIAM,-1.3595482116711985,117.9
15,2021,status,26.545385745928172,close
