,Year,Status,Value,Close
0,2007,START,0,41.739
1,2008,GIAM,-14.13306499916144,35.84
2,2009,GIAM,-62.36328125,13.489
3,2010,GIAM,-1.6606123508043604,13.265
4,2011,GIAM,-25.638899359215994,9.863999999999999
5,2012,TANG,12.702757502027595,11.117
6,2013,GIAM,-6.620491139695983,10.380999999999998
7,2014,TANG,17.801753202966985,12.229000000000001
8,2015,TANG,5.895821408128206,12.95
9,2016,TANG,52.015444015444025,19.686
10,2017,TANG,3.799654576856655,20.434
11,2018,TANG,41.06391308603307,28.825
12,2019,TANG,7.025151777970519,30.85
13,2020,TANG,0.4862236628849224,31.0
14,2021,status,-2.1022225056065547,close
