,Year,Status,Value,Close
0,2006,START,0,13.565
1,2007,TANG,0.700331736085519,13.66
2,2008,TANG,58.07467057101028,21.593000000000004
3,2009,GIAM,-67.3875793081091,7.042000000000001
4,2010,TANG,72.91962510650382,12.177
5,2011,GIAM,-24.570912375790417,9.185
6,2012,TANG,13.53293413173651,10.427999999999999
7,2013,TANG,29.670118910625256,13.522
8,2014,TANG,4.318887738500219,14.106
9,2015,TANG,2.3394300297745643,14.436
10,2016,GIAM,-12.718204488778056,12.6
11,2017,GIAM,-30.23809523809524,8.79
12,2018,TANG,52.44596131968148,13.4
13,2019,GIAM,-13.432835820895528,11.6
14,2020,GIAM,-12.068965517241383,10.2
