,Year,Status,Value,Close
0,2006,START,0,18.053
1,2007,TANG,9.654905001938728,19.796
2,2008,TANG,27.505556678116793,25.241
3,2009,GIAM,-59.39542807337268,10.249
4,2010,TANG,44.45311737730509,14.805
5,2011,GIAM,-25.059101654846327,11.095
6,2012,GIAM,-16.881478143307792,9.222000000000001
7,2013,GIAM,-8.967685968336605,8.395
8,2014,GIAM,-5.253126861226919,7.954
9,2015,TANG,2.0367110887603714,8.116
10,2016,TANG,34.40118284869394,10.908
11,2017,TANG,5.867253392005873,11.548
12,2018,TANG,104.20852095600968,23.581999999999997
13,2019,GIAM,-4.812992960732754,22.447
14,2020,TANG,2.463580879404824,23.0
15,2021,status,1.6276532044190217,close
