,Year,Status,Value,Close
0,2000,START,0,2.089
1,2001,TANG,41.838200095739595,2.963
2,2002,GIAM,-1.6199797502531235,2.915
3,2003,GIAM,-4.665523156089198,2.779
4,2004,GIAM,-7.088880892407342,2.582
5,2005,TANG,26.45236250968243,3.265
6,2006,TANG,31.699846860643177,4.3
7,2007,TANG,226.65116279069767,14.046
8,2008,TANG,58.25857895486259,22.229
9,2009,GIAM,-78.32561068873993,4.8180000000000005
10,2010,TANG,123.4329597343296,10.765
11,2011,GIAM,-24.58894565722248,8.118
12,2012,GIAM,-29.428430647942843,5.729
13,2013,TANG,70.04712864374237,9.742
14,2014,TANG,87.19975364401562,18.237000000000002
15,2015,GIAM,-1.2008554038493238,18.018
16,2016,GIAM,-4.895104895104903,17.136
17,2017,TANG,19.176003734827272,20.422
18,2018,TANG,83.75281559102926,37.525999999999996
19,2019,GIAM,-26.091243404572822,27.735
20,2020,TANG,26.97313863349559,35.216
