,Year,Status,Value,Close
0,2007,START,0,6.069
1,2008,GIAM,-5.8823529411764595,5.712000000000001
2,2009,GIAM,-66.59663865546219,1.9080000000000001
3,2010,TANG,165.04192872117395,5.0569999999999995
4,2011,GIAM,-39.252521257662636,3.072
5,2012,GIAM,-41.86197916666667,1.786
6,2013,TANG,9.518477043673009,1.956
7,2014,TANG,34.91820040899795,2.639
8,2015,TANG,108.4880636604775,5.502000000000001
9,2016,TANG,199.6728462377317,16.488
10,2017,TANG,157.2780203784571,42.42
11,2018,TANG,143.44648750589343,103.27
12,2019,GIAM,-45.594073787159864,56.185
13,2020,TANG,23.91385601139095,69.62100000000001
14,2021,status,19.038478064294175,close
