,Year,Status,Value,Close
0,2006,START,0,26.962
1,2007,GIAM,-17.320673540538543,22.291999999999998
2,2008,TANG,102.42239368383277,45.123999999999995
3,2009,GIAM,-81.05442779895398,8.549
4,2010,TANG,9.83740788396305,9.39
5,2011,GIAM,-2.1725239616613483,9.186
6,2012,GIAM,-12.312214239059442,8.055
7,2013,TANG,102.594661700807,16.319000000000003
8,2014,TANG,9.351063177890778,17.845
9,2015,TANG,8.058279630148515,19.283
10,2016,GIAM,-9.593942851216104,17.433
11,2017,TANG,110.62926633396432,36.719
12,2018,TANG,0.4684223426563824,36.891
13,2019,GIAM,-35.58320457564175,23.764
14,2020,GIAM,-3.315940077428044,22.976
15,2021,status,-1.0608546504182526,close
