,Year,Status,Value,Close
0,2006,START,0,39.191
1,2007,GIAM,-16.5981985659973,32.686
2,2008,TANG,14.728018111729794,37.5
3,2009,GIAM,-79.19999999999999,7.8
4,2010,TANG,25.641025641025657,9.8
5,2011,GIAM,-4.081632653061227,9.4
6,2012,GIAM,-47.87234042553191,4.9
7,2013,TANG,216.32653061224488,15.5
8,2016,GIAM,-80.64516129032258,3.0
9,2017,TANG,156.66666666666666,7.7
10,2018,TANG,16.88311688311688,9.0
11,2019,TANG,38.88888888888889,12.5
12,2020,TANG,44.0,18.0
13,2021,status,-5.809602935490776,close
