,Year,Status,Value,Close
0,2007,START,0,8.193999999999999
1,2008,KHONG DOI,0.0,8.193999999999999
2,2009,GIAM,-66.89040761532829,2.713
3,2010,TANG,179.17434574272022,7.574
4,2011,GIAM,-28.70345920253498,5.4
5,2012,GIAM,-1.1481481481481697,5.337999999999999
6,2013,TANG,1.5174222555264223,5.419
7,2014,TANG,17.051116442148007,6.343
8,2015,TANG,150.89074570392563,15.914000000000001
9,2016,GIAM,-24.670101797159745,11.988
10,2017,TANG,119.55288621955289,26.32
11,2018,GIAM,-5.273556231003046,24.932
12,2019,TANG,73.46382159473771,43.248000000000005
13,2020,GIAM,-10.053644099149107,38.9
14,2021,status,11.768164095170919,close
