,Year,Status,Value,Close
0,2006,START,0,3.9789999999999996
1,2007,TANG,461.9502387534557,22.36
2,2008,TANG,243.09928443649375,76.717
3,2009,GIAM,-78.87039378494988,16.21
4,2010,TANG,294.595928439235,63.964
5,2011,GIAM,-25.737915077230934,47.501000000000005
6,2012,GIAM,-60.75661565019684,18.641
7,2013,GIAM,-8.787082238077346,17.003
8,2014,GIAM,-16.97347526907016,14.117
9,2015,TANG,38.1242473613374,19.499000000000002
10,2016,GIAM,-7.600389763577634,18.017
11,2017,TANG,2.5975467613920182,18.485
12,2018,TANG,33.98972139572628,24.768
13,2019,GIAM,-31.996931524547804,16.843
14,2020,GIAM,-1.4427358546577127,16.6
15,2021,status,9.990609824407514,close
