,Year,Status,Value
0,2010,START,0
1,2011,GIAM,-1.7468074192067968
2,2012,GIAM,-56.702022422510446
3,2013,TANG,9.246684013454354
4,2014,TANG,78.98222377134887
5,2015,TANG,15.368386887374239
6,2016,TANG,184.81080320720213
7,2017,TANG,65.00651941996917
8,2018,TANG,27.857596111250793
9,2019,GIAM,-27.356834175324572
10,2020,GIAM,-65.96885634732392
