,Year,Status,Value,Close
0,2008,START,0,3.21
1,2009,TANG,54.82866043613706,4.97
2,2010,TANG,59.7585513078471,7.94
3,2011,GIAM,-18.526448362720416,6.468999999999999
4,2012,TANG,11.160921317050557,7.191
5,2013,TANG,64.78931998331248,11.85
6,2014,TANG,76.97890295358648,20.971999999999998
7,2015,TANG,12.793248140377663,23.655
8,2016,TANG,11.088564785457624,26.278000000000002
9,2017,TANG,34.46609330999314,35.335
10,2018,TANG,15.517192585255424,40.818000000000005
11,2019,TANG,22.494977705914042,50.0
12,2020,TANG,26.0,63.0
13,2021,status,25.732886496326923,close
