,Year,Status,Value,Close
0,2006,START,0,26.45
1,2007,TANG,25.25141776937618,33.129
2,2008,TANG,48.386609918802264,49.159
3,2009,GIAM,-34.243983807644575,32.325
4,2010,TANG,16.538283062645,37.671
5,2011,GIAM,-28.34010246608797,26.995
6,2012,GIAM,-36.658640488979444,17.099
7,2013,TANG,23.79086496286331,21.166999999999998
8,2014,TANG,79.62866726508246,38.022
9,2015,TANG,12.179790647519859,42.653
10,2016,GIAM,-49.039926851569646,21.736
11,2017,GIAM,-13.006072874493919,18.909000000000002
12,2018,TANG,10.576973927759267,20.909000000000002
13,2019,GIAM,-38.26103591754747,12.909
14,2020,TANG,16.585328065690604,15.05
