,Year,Status,Value,Close
0,2007,START,0,25.25
1,2008,GIAM,-9.021782178217832,22.971999999999998
2,2009,GIAM,-79.07452550931569,4.8069999999999995
3,2010,KHONG DOI,0.0,4.8069999999999995
4,2011,GIAM,-27.272727272727256,3.4960000000000004
5,2012,GIAM,-43.33524027459955,1.9809999999999999
6,2013,TANG,37.001514386673406,2.714
7,2014,TANG,8.990420044215188,2.958
8,2015,TANG,18.796484110885718,3.514
9,2016,GIAM,-11.383039271485485,3.114
10,2017,GIAM,-30.635838150289008,2.16
11,2018,TANG,328.5648148148148,9.257
12,2019,TANG,163.90839364805012,24.43
13,2020,GIAM,-11.649611133851822,21.584
14,2021,status,-1.114273017823364,close
