,Year,Status,Value,Close
0,2002,START,0,10.006
1,2003,GIAM,-5.856486108335002,9.42
2,2004,GIAM,-2.6751592356687968,9.168
3,2005,TANG,26.537958115183248,11.600999999999999
4,2006,TANG,25.359882768726838,14.543
5,2007,TANG,177.86563982672075,40.41
6,2008,GIAM,-2.9398663697104563,39.222
7,2009,GIAM,-76.51063178828208,9.213
8,2010,TANG,162.83512428090742,24.215
9,2011,GIAM,-45.87652281643609,13.106
10,2012,GIAM,-46.97085304440714,6.95
11,2013,TANG,10.661870503597116,7.691
12,2014,TANG,80.45767780522691,13.879000000000001
13,2015,GIAM,-9.914258952374098,12.503
14,2016,TANG,58.25801807566183,19.787
15,2017,GIAM,-1.7587304796078185,19.439
16,2018,TANG,53.819640928031276,29.901
17,2019,GIAM,-16.631550784254703,24.928
18,2020,GIAM,-6.931964056482675,23.2
19,2021,status,4.525559109956601,close
